title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
London Views Management Framework (LVMF)  – Extended background vistas,2r4o4,Statutory consultation arrangements for developments that might affect a Protected Vista are prescribed by the Secretary of State and reproduced in the...,"Statutory consultation arrangements for developments that might affect a Protected Vista are prescribed by the Secretary of State and reproduced in the Mayor of London’s LVMF SPG. https://www.london.gov.uk/what-we-do/planning/implementing-london-plan/london-plan-guidance-and-spgs/london-view-management Development in the background of a Protected Vista outside the formal consultation area can however impact on a strategically important view and this dataset sets confirms where new development might be visible within a Protected Vista depending on its height and local topography. The Mayor of London has sent this map to every Local Planning Authority in London asking them to consult the Mayor where buildings are proposed within these extended background areas so he, relevant authorities and",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2r4o4,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Annual,"PDF, ZIP",UNKNOWN,UNKNOWN,Point Location,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,planningconstraintsmap,snowflake,Medium,Topics: planning. Last updated: 2020-03-10.
Former Biscuit Factory public consultation documents,2nwn3,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2nwn3,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-02-20.
Cycling Infrastructure Database,23n1k,"London’s Cycling Infrastructure Database (CID) is the world’s largest and most comprehensive database of cycling infrastructure, containing comprehensive...","London’s Cycling Infrastructure Database (CID) is the world’s largest and most comprehensive database of cycling infrastructure, containing comprehensive details of cycling infrastructure in the Capital. The CID is intended to address barriers to cycling by providing Londoners with clear and accurate information about cycling infrastructure, helping them plan cycle journeys with confidence. The CID is a core part of our Cycling Action Plan , which sets out how TfL, boroughs and others will work together to make London the world’s best big city for cycling. To create the database, TfL have surveyed every street in every London borough to collect information on over 240,000 pieces of infrastructure, covering an area of 1,595 square kilometres. The database also contains 480,000 photographs o",Real Estate,Transport for London (TfL),https://data.london.gov.uk/dataset/23n1k,Transport Data Service Licence — https://tfl.gov.uk/corporate/terms-and-conditions/transport-data-service,Monthly,HTML,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"Cycle, Cycling, CID, Cycle Infrastructure Database, Advanced stop Line, Crossing, Cycle Lane, Signage, Signal, Traffic Calming, Restricted Route, Cycle Assets, Cycle Infrastructure",snowflake,Medium,"Topics: planning, transport. Last updated: 2020-02-05."
Manor Road public consultation documents,e190p,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e190p,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-01-30.
100 West Cromwell Road consultation documents,vqz97,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vqz97,UNKNOWN,One off,"PDF, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-01-23.
Citroen Site Public Inquiry documents,2knxx,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2knxx,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-01-10.
Pentavia Retail Park public consultation documents 31 May - 3 July 2019,2gy90,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2gy90,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-01-06.
Pentavia Retail Park public consultation documents 27 March - 6 May 2019,2y55w,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2y55w,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2019-12-17.
Isle of Dogs and South Poplar Opportunity Area Planning Framework,2j0n0,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2j0n0,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2019-11-22.
VIP Trading Estate appeal documents,2y5zy,More details about the VIP Trading Estate can be found at...,More details about the VIP Trading Estate can be found at https://www.london.gov.uk/what-we-do/planning/planning-applications-and-decisions/public-hearings/vip-trading-estate-public-hearing . The local authority for this case is 16/4008/F. The GLA reference is 3800.,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2y5zy,Other (Public Domain),One off,"DOCUMENT, IMAGE, PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2019-10-24.
Newcombe House Statements of Case,2y5pw,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2y5pw,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2019-10-21.
"9, 11 and 19 Osiers Road public hearing documents",vqz0l,"Documents for the public hearing on the application for development at 9, 11 and 19 Osiers Road, GLA case reference 4558. More details can be found at...","Documents for the public hearing on the application for development at 9, 11 and 19 Osiers Road, GLA case reference 4558. More details can be found at https://www.london.gov.uk/what-we-do/planning/planning-applications-and-decisions/public-hearings/9-11-and-19-osiers-road-public-hearing .",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vqz0l,Other (Not Open),One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"consultation, 4558, Osiers Road, planning",snowflake,Medium,Topics: planning. Last updated: 2019-10-03.
4914 - Stage 1 - Land to the rear of Tesco Superstore,e6ymn,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e6ymn,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2019-09-17.
Beam Park Reserved Matters application,emqmg,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/emqmg,UNKNOWN,One off,ZIP,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2019-08-14.
Isle of Dogs and South Poplar OAPF,20pw9,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/20pw9,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2019-05-28.
MCIL 2 charging area boundaries,vdj65,"This page contains the spatial boundaries from the Mayor's Community Infrastructure Levy 2019 (known as MCIL 2), which replaces MCIL 1 on 1st April 2019....","This page contains the spatial boundaries from the Mayor's Community Infrastructure Levy 2019 (known as MCIL 2), which replaces MCIL 1 on 1st April 2019. The following can be downloaded:: Image files of Central London and Isle of Dogs charging areas and the MCIL 2 charging bands MCIL 2 Central London charging area shape file for use in ArcMap or other GIS software MCIL 2 Isle of Dogs charging area shape file for use in ArcMap or other GIS software",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vdj65,Open Data Commons Open Database License (ODbL) — http://www.opendefinition.org/licenses/odc-odbl,One off,"IMAGE, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"MCIL2, planning, mcil",snowflake,Medium,Topics: planning. Last updated: 2019-03-12.
