title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Trustee Diversity in London in 2025,2wwkz,"This is a London cut of the Pro Bono Economics report called ‘Trusteeship – a positive opportunity: understanding skills, experience and demographics in...","This is a London cut of the Pro Bono Economics report called ‘Trusteeship – a positive opportunity: understanding skills, experience and demographics in England and Wales’. It shows the diversity of trustees in London and has cross-tabulated each question for ethnicity.",Other,Pro Bono Economics,https://data.london.gov.uk/dataset/2wwkz,UNKNOWN,One off,SPREADSHEET,UNKNOWN,2024-07 to 2024-08,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"charity, volunteering, diversity, demographics",snowflake,Medium,"Topics: art-and-culture, demographics, business-and-economy, young-people. Last updated: 2025-11-25."
"Equalities, Diversity and Inclusion Measures",e55yg,"This dataset supports the Mayor's equality, diversity and inclusion (EDI) strategy published in 2018. It brings together publicly available data relevant to...","This dataset supports the Mayor's equality, diversity and inclusion (EDI) strategy published in 2018. It brings together publicly available data relevant to equalities in London into a series of measures. These will be updated over time to monitor the delivery of the strategy. After the Covid-19 pandemic struck in 2020, there was a need to capture and bring together appropriate data and research to monitor London through the recovery period. As a result, the GLA set up the London Covid-19 Resilience Dashboard and inequalities in London were monitored through this, while updates of the original EDI measures were discontinued. In November 2022 the Mayor published a new set of equality objectives to replace those published in the original strategy from 2018. As a result, the EDI measures have",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e55yg,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,SPREADSHEET,UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, crime-and-community-safety, demographics, education, employment-and-skills, health, housing, income-poverty-welfare, sport, young-people. Last updated: 2025-08-13."
State of London,2k5rr,This work by GLA City Intelligence (the latest update of which was published in June 2025) aims to provide the most comprehensive and up-to-date picture of...,"This work by GLA City Intelligence (the latest update of which was published in June 2025) aims to provide the most comprehensive and up-to-date picture of London’s economic and social realities. Our latest report differs slightly from previous ones in that it highlights London’s performance against a set of ‘London-level outcomes’ that pertain to important Mayoral priorities for the capital. That being said, it also covers additional indicators that were cited in previous editions of the report. The aim is to provide readers with a high-level summary of the latest trends in each topic area which are: Demography Economy Global City & Culture Skills Social Justice Housing Environment Crime Transport Children & Young People Health Datasets have been selected that update relatively frequently",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2k5rr,UNKNOWN,Annual,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"demography, economy, global city, culture, skills, social justice, housing, envoronment, crime, transport, children and young people, health",snowflake,Medium,"Topics: art-and-culture, business-and-economy, crime-and-community-safety, demographics, education, employment-and-skills, environment, health, housing, income-poverty-welfare, transport, young-people. Last updated: 2025-06-20."
Conservation Areas in the London Borough of Southwark,2rjn1,Conservation areas are designated areas of special architectural or historic interest where the local planning authority has a duty to preserve or enhance...,Conservation areas are designated areas of special architectural or historic interest where the local planning authority has a duty to preserve or enhance the character and appearance of the area. This geojson files shows the extents (polygons) of conservation areas within the London Borough of Southwark. The file can be opened within any geographic information system (GIS) and uses the map coordinate system EPSG:27700.,Other,London Borough of Southwark (Geospatial),https://data.london.gov.uk/dataset/2rjn1,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Six-monthly,GEOJSON,UNKNOWN,UNKNOWN,Custom Polygons,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, planning, transparency. Last updated: 2025-05-30."
Listed Buildings in London Borough of Southwark,2gq0r,Listed buildings are buildings of special architectural or historic interest with legal protection. This geojson file shows extents (polygons) of listed...,"Listed buildings are buildings of special architectural or historic interest with legal protection. This geojson file shows extents (polygons) of listed buildings within the London Borough of Southwark. Attribute values include grade, location name and a link to the PDF listing document.",Other,London Borough of Southwark (Geospatial),https://data.london.gov.uk/dataset/2gq0r,UNKNOWN,Six-monthly,GEOJSON,UNKNOWN,UNKNOWN,Custom Polygons,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, planning, transparency. Last updated: 2025-05-30."
Southwark Council Local List Listed Buildings ,e1r5k,Local List listed buildings are buildings or structures of architectural or historic interest making a contribution to the character of an area. They do not...,Local List listed buildings are buildings or structures of architectural or historic interest making a contribution to the character of an area. They do not qualify for inclusion on the statutory listed buildings list. Local List listed buildings are non-designated heritage assets. This geojson file shows the extent and values of Local List buildings in the London Borough of Southwark. Attribute values include a link to the Local Listing PDF document.,Other,London Borough of Southwark (Geospatial),https://data.london.gov.uk/dataset/e1r5k,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Six-monthly,GEOJSON,UNKNOWN,UNKNOWN,Custom Polygons,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, planning, transparency. Last updated: 2025-05-30."
GLA Grants data,v8ozm,"The GLA Grants Dataset contains data relating to grants which have been awarded by the GLA since 2013. The dataset uses the 360 Giving Standard, to ensure...","The GLA Grants Dataset contains data relating to grants which have been awarded by the GLA since 2013. The dataset uses the 360 Giving Standard, to ensure the data is clear and accessible. This dataset can also be accessed on the 360 giving navigation site GrantNav, which allows grant-makers and others to explore how grants are used, areas of commonality between grant-makers and gaps that are not reached by grant-makers. Potential grant-seekers can also see who and what the GLA has funded in the past.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/v8ozm,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Six-monthly,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, business-and-economy, championing-london, crime-and-community-safety, education, employment-and-skills, health, housing, income-poverty-welfare, sport, transparency, young-people. Last updated: 2025-04-04."
Creative Enterprise Zones (CEZ) data repository,e66pp,"The data contained in this repository relates to London's Creative Enterprise Zones. It can be used to review job and business data for each CEZ, as well as...","The data contained in this repository relates to London's Creative Enterprise Zones. It can be used to review job and business data for each CEZ, as well as several other creative areas across London. About the data Sectors The data relates specifically to creative sector SIC codes (standard industrial classification) as defined by the Department for Digital, Culture, Media and Sport (DCMS). The list of SIC codes is provided in the repository below (activity_subsector_sic.csv). Sources Job counts are from the ONS Business Register & Employment Survey. Job counts are estimated through a survey of a sample businesses throughout the country. The survey takes place annually in September. Job data is available from 2015 to 2023 . The data only counts employees registered for PAYE; it generally ",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e66pp,UNKNOWN,Annual,"CSV, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, business-and-economy. Last updated: 2025-04-03."
OPDC's Grants Data,vd49l,"OPDC is a Mayoral Development Corporation, established by the Mayor of London with a statutory objective to secure the regeneration of our area, which spans...","OPDC is a Mayoral Development Corporation, established by the Mayor of London with a statutory objective to secure the regeneration of our area, which spans across three London boroughs – Ealing, Brent and Hammersmith & Fulham. Our area includes the vast Park Royal industrial estate, the Old Oak development area around the new High Speed 2 Old Oak Common interchange, and the protected 67 hectares of parkland at Wormwood Scrubs.",Other,OPDC,https://data.london.gov.uk/dataset/vd49l,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Six-monthly,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: art-and-culture, business-and-economy, education, employment-and-skills, environment, transparency, young-people. Last updated: 2025-02-05."
Cultural Infrastructure Map 2024,2zj1y,London’s first Cultural Infrastructure Map brings together new research and information that has previously not existed in one place. It plots the location...,London’s first Cultural Infrastructure Map brings together new research and information that has previously not existed in one place. It plots the location of cultural infrastructure and enables the user to view it alongside useful contextual data. This page contains cultural infrastructure data sets collected from summer 2024 to summer 2025 and published in 2024 and 2025. Data sets are uploaded as they become available over this period. Audits of facilities or infrastructure are a snapshot in time and based on best available information. We welcome contributions or updates to the datasets from Londoners and others which can be submitted through the Cultural Infrastructure Map . Data and analysis from GLA GIS Team form a basis for the policy and investment decisions facing the Mayor of Lon,Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2zj1y,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,"CSV, PDF",UNKNOWN,UNKNOWN,Coordinates,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: art-and-culture. Last updated: 2024-12-19.
