title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Home Fire Safety Visits by London Borough,2gy71,The London Fire Brigade carries out home fire safety visits (HFSVs) across London.,"The London Fire Brigade carries out home fire safety visits (HFSVs) across London. For more details see the LFB website here. During the HFSV fire safety advice will be provided to the owner/occupier, and smoke alarms will be installed. The visits are free, and the LFB website explains how to request a visit. This data set shows the number of HFSVs carried out in each London borough. Most visits are carried out by fire station crews, and the data shows which fire stations carried out the visit.",Public Safety,London Fire Brigade,https://data.london.gov.uk/download/2gy71/e2fdc768-a3eb-4984-b491-278c0d24d3da/Home%20Fire%20Safety%20Visits%20by%20London%20Borough..xlsx,Creative Commons Attribution,Quarterly,Spreadsheet,UNKNOWN,Jan 2009 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"fire, london fire brigade, hfsv, home fire safety visits, prevention",snowflake,High,"Groups: Crime and Community Safety, Transparency. Smallest Geography: Borough. Resources: 1."
Regulatory fire safety Inspections and audits,2ozkn,This dataset provides a list of fire safety inspections and visits carried out by the LFB's Inspecting Officers in the last five years.,"This dataset provides a list of fire safety inspections and visits carried out by the LFB's Inspecting Officers in the last five years. Most inspections relate to advice and enforcement of the Regulatory Reform (Fire Safety) Order 2005. The data is updated monthly, one month in arrears. We visit buildings for a range of reasons, including: to provide advice, to audit the fire safety arrangements and to inspect any remedial actions taken. Where we do find deficiencies in fire protection we can re-inspect.",Public Safety,London Fire Brigade,https://data.london.gov.uk/download/2ozkn/3543c401-5d93-4a9c-a5dc-c01c14e0c3b0/Regulatory%20fire%20safety%20Inspections%20and%20audits%20-%20Feb%202026.xlsx,UK Open Government Licence (OGL v3),Monthly,Spreadsheet,UNKNOWN,Mar 2020 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"enforcement, public register, fire safety, inspections, LFB",snowflake,High,"Groups: Crime and Community Safety. Smallest Geography: Unit Postcode. Resources: 1."
London Fire Brigade - Incidents Attended - Summary Report,24yd8,London Fire Brigade is the busiest fire and rescue service in the country and one of the largest firefighting and rescue organisations in the world.,"London Fire Brigade is the busiest fire and rescue service in the country and one of the largest firefighting and rescue organisations in the world. This table summarises the details of every incident responded to since 2009 by calendar and financial year. The categories derive from the UK government's Incident Recording System. For more detail, we also publish all LFB incident records and all LFB mobilisation records to incidents since January 2009.",Public Safety,London Fire Brigade,https://data.london.gov.uk/download/24yd8/e5d5fab5-8a63-41f8-8e8c-055ec63f3558/Whole%20Of%20Service%20Report%20by%20Calendar%20Year.xlsx,UK Open Government Licence (OGL v3),Annual,Spreadsheet,UNKNOWN,Jan 2009 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"fire, incidents, summary, LFB, London Fire Brigade",snowflake,High,"Groups: Crime and Community Safety, Transparency. Smallest Geography: Greater London. Resources: 2."
Fires in London - cause of ignition is white goods,2r4x4,The London Fire Brigade attend a number of fires each year where the ignition source is recorded as white goods (e.g. washing machine dishwasher refrigerator).,"The London Fire Brigade attend a number of fires each year where the ignition source of the fire is recorded as white goods (e.g. washing machine, dishwasher, refrigerator). This data set provides details of such fires by London borough and ward location, and the type of white goods concerned as well as the property type where the fire happened. Where known, the brand and model of the white goods item is included. Data is provided from January 2009 and updated annually.",Public Safety,London Fire Brigade,https://data.london.gov.uk/download/2r4x4/a2921da4-b1e4-4452-a54c-86b2b4f341a7/White%20goods%20fires%20from%202009.xlsx,Creative Commons Attribution,Annual,Spreadsheet,UNKNOWN,Jan 2009 to Feb 2025,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"LFB, fires, London, white goods, appliances",snowflake,High,"Groups: Crime and Community Safety, Transparency. Smallest Geography: Ward. Resources: 1."
Shut in lift releases (lift entrapments) attended by LFB,2g980,The London Fire Brigade attends a range of non-fire incidents including releasing people trapped in lift cars.,"The London Fire Brigade attends a range of non-fire incidents (which we call special services). These include releasing people trapped in lift cars, known as shut in lift releases or lift entrapments. These releases cover apartment blocks as well as commercial and public buildings. The data is provided from January 2022 and updated monthly.",Public Safety,London Fire Brigade,https://data.london.gov.uk/download/2g980/46561645-a73e-473e-a45c-868b8599a280/Shut%20in%20lifts%20incidents%20attended%20by%20LFB%20in%20last%2036%20months.xlsx,UK Open Government Licence (OGL v2),Monthly,Spreadsheet,UNKNOWN,Feb 2022 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"LFB, lifts, entrapments, special services, fire brigade",snowflake,High,"Groups: Crime and Community Safety, Transparency. Smallest Geography: Borough. Resources: 1."
London Fire Brigade Mobilisation Records,24r65,Details of every fire engine sent to an incident since January 2009 including appliance type deployment location and response times.,"London Fire Brigade is the busiest fire and rescue service in the country. This dataset contains the details of every fire engine (pumping appliance) sent to an incident since January 2009. Information is provided for the appliance mobilised, where it was deployed from and the times recorded for arriving at the incident. The main dataset contains every fire engine mobilisation to an incident. Updated monthly.",Public Safety,London Fire Brigade,https://data.london.gov.uk/download/24r65/7d5b4e2f-3ddb-48b9-8a4d-bf86bdf6a4ef/LFB%20Mobilisation%20data%20from%202025.csv,UK Open Government Licence (OGL v2),Monthly,"CSV, ZIP",UNKNOWN,Jan 2009 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"emergency-response, fire-brigade, incidents, fire, lfb, mobilisation",snowflake,High,"Groups: Crime and Community Safety. Smallest Geography: Coordinates. Resources: 5."
Lithium and Electric Vehicle fires,vd4zo,Fires involving lithium batteries are the fastest growing fire risk in London covering all EV and lithium-ion related fires from 2017 onwards.,"Fires involving lithium batteries are the fastest growing fire risk in London. This dataset provides a breakdown of all Electrical Vehicle and lithium-ion related fires from Calendar Year 2017 onwards. The first tab provides data on incidents; the second tab provides figures on fatalities and injuries. The data is updated monthly, one month in arrears.",Other,London Fire Brigade,https://data.london.gov.uk/download/vd4zo/8d3f699d-d43a-4e69-8521-c735ff8bd33e/LFB%20Lithium%20and%20Electric%20Vehicle%20fire%20data%2007.25.xlsx,UK Open Government Licence (OGL v3),Monthly,Spreadsheet,UNKNOWN,Jan 2017 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"lithium, EV, electric vehicle, fires, batteries, LFB",snowflake,Medium,"Groups: None. Smallest Geography: Greater London. Resources: 1."
London Fire Brigade Incident Records,em8xy,Full record of every incident attended by the London Fire Brigade since 1 January 2009 with location and incident type detail.,"London Fire Brigade is the busiest fire and rescue service in the country. On this page, we publish details of every incident attended by the London Fire Brigade since 1 January 2009. The main dataset contains all LFB incident data and is available as annual ZIP files. Updated monthly.",Public Safety,London Fire Brigade,https://data.london.gov.uk/download/em8xy/58m/LFB%20Incident%20data%20from%202024%20onwards.xlsx,UK Open Government Licence (OGL v2),Monthly,"Spreadsheet, ZIP",UNKNOWN,Jan 2009 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"fire, fire-brigade, incidents, emergency-response, lfb, lfepa",snowflake,High,"Groups: Crime and Community Safety, Transparency. Smallest Geography: Coordinates. Resources: 4."
"Incidents occurring around Diwali, Halloween, Bonfire Night & Christmas from 2012",2lz73,Details of calls received and incidents attended by the London Fire Brigade during seasonal high-risk periods each year since 2012.,"This dataset provides details of calls received and incidents attended by the London Fire Brigade during the Diwali/Halloween and Bonfire night period each year since 2012. The data covers the period from 23 October to 13 November each year and includes calls received, incidents attended, fires attended, primary and secondary fires, fatalities and injuries.",Public Safety,London Fire Brigade,https://data.london.gov.uk/download/2lz73/2881218a-5ded-480b-b226-40328abaef3a/Bonfire%2C%20Christmas%2C%20Diwali%20and%20Haloween%20incidents.xlsx,UNKNOWN — check publisher terms,Annual,Spreadsheet,UNKNOWN,Jan 2012 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"LFB, bonfire night, diwali, halloween, christmas, incidents, fire",snowflake,High,"Groups: Crime and Community Safety, Transparency. Smallest Geography: Greater London. Resources: 1."
Bariatric incidents attended by LFB,emqnp,London Fire Brigade incidents involving assistance to move larger bariatric patients in collaboration with the London Ambulance Service from January 2009.,"The London Fire Brigade attends a range of non-fire incidents (special services) including assistance to other emergency services, including help with moving larger bariatric patients. Although the LFB does not explicitly capture and classify these types of incidents, they are identified via messages transmitted during incidents. Data is provided from January 2009 and updated annually.",Public Safety,London Fire Brigade,https://data.london.gov.uk/download/emqnp/07532fbb-b5b9-4e62-b107-10da4a441bfc/20240125%20Bariatric%20incidents%20attended%20by%20LFB%20from%20Jan%202009.xlsx,UK Open Government Licence (OGL v3),Annual,Spreadsheet,UNKNOWN,Jan 2009 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"obesity, overweight, LFB, special-services, bariatric, ambulance",snowflake,High,"Groups: Crime and Community Safety, Health, Transparency. Smallest Geography: Postcode Sector. Resources: 1."
