title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
MPS Monthly Crime Dashboard Data,e5n6w,Monthly Metropolitan Police crime dashboard data covering all crime types by borough with monthly updates from March 2022.,"The data used in the MPS Crime Dashboard including knife crime, theft, violence and other offence categories by borough. Datasets are updated monthly by the 6th of the month. Data runs until the end of the prior month. MPS crime classifications were updated in October 2025 to align with Home Office categories.",Public Safety,Metropolitan Police Service,https://data.london.gov.uk/download/e5n6w/400/M1045_MonthlyCrimeDashboard_KnifeCrimeData.xlsx,UNKNOWN — check publisher terms,Monthly,Spreadsheet,UNKNOWN,Mar 2022 to Feb 2026,Greater London (borough level),Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"crime, MPS, Metropolitan Police, knife crime, borough, monthly",snowflake,High,"Groups: Crime and Community Safety. Smallest Geography: Borough. Resources: 104."
Camera Captures and Confirmed Vehicles seen in the Congestion Charge Zone by Month,2r88d,Monthly count of ANPR camera captures and confirmed vehicles seen in the London Congestion Charge Zone during charging hours.,"Camera captures and confirmed vehicles seen in the Congestion Charge Zone by month during charging hours. Camera captures since July 2010 and confirmed vehicles since October 2016. The count of captures is based on unique ANPR camera captures per day aggregated to monthly totals. Data published by Transport for London.",Transportation,Transport for London (TfL),https://data.london.gov.uk/download/2r88d/867ccde0-e52b-45d0-b2f4-9cf58b6c8085/tfl-vehicles-c-charge-zone.xlsx,UK Open Government Licence (OGL v2),Monthly,Spreadsheet,UNKNOWN,Jul 2010 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"congestion charge, ANPR, vehicles, traffic, TfL, zone",snowflake,High,"Groups: Transport. Smallest Geography: Greater London. Resources: 2."
134 Kenton Road hearing documents,exxwx,"Documents from the GLA public hearing for planning application PL/0378/25 at 134 Kenton Road, Harrow including agenda and decision notice.","Documents from the public hearing for planning application PL/0378/25 at 134 Kenton Road, Harrow. Includes hearing agenda and related planning documents.",Other,Greater London Authority (GLA),https://data.london.gov.uk/download/exxwx/0mc/Kenton%20Road%20Hearing%20Agenda%2020th%20March%202026.pdf,UNKNOWN — check publisher terms,One-off,PDF,UNKNOWN,March 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"planning, hearing, GLA, Kenton Road, Harrow",snowflake,Medium,"Groups: Planning. Smallest Geography: Other. Resources: 4."
Waste Contracts Register,vqm84,Register of London waste authority contracts showing expiry dates to support joint procurement and monitoring under the London Environment Strategy.,"The Mayor's London Environment Strategy (2018) proposed a contract register to monitor when waste authority contracts come up for renewal. The register allows waste authorities to view expiry dates and identify joint working and procurement opportunities. Updated quarterly.",Environment,Greater London Authority (GLA),https://data.london.gov.uk/download/vqm84/b9315718-05f0-4cbf-881f-15760c5842bb/Waste%20Authority%20Contract%20Register%20-%20Contract%20Expiry%20Dates%20-%20%5BMarch%202026%20update%5D.xlsx,UK Open Government Licence (OGL v3),Quarterly,Spreadsheet,UNKNOWN,2018 to present,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"waste, contracts, procurement, environment, boroughs, register",snowflake,High,"Groups: Environment. Smallest Geography: Local Authority. Resources: 2."
MOPAC Surveys,236kk,"Results from three ongoing MOPAC surveys covering public attitudes, victim satisfaction, and digital investigation unit experiences with London police.","MOPAC conducts three ongoing surveys: the Public Attitude Survey (19,200 residents per year on police perceptions), the User Satisfaction Survey (9,600 victims of high volume crime on their reporting experience), and the Telephone Digital Investigation Unit Survey (victims of high volume crime). Results published quarterly.",Public Safety,Mayor's Office for Policing And Crime (MOPAC),https://data.london.gov.uk/download/236kk/dkw/Q2_2526_Public%20Voice%20results%20pack_FINAL.pdf,UK Open Government Licence (OGL v3),Quarterly,PDF,UNKNOWN,Jul 2025 to Sep 2025,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"MOPAC, police, public attitudes, victim satisfaction, survey",snowflake,High,"Groups: Crime and Community Safety. Smallest Geography: Greater London. Resources: 56."
Patients registered at a GP practice,e561x,"Modelled counts of patients registered at a GP practice by single year of age, sex, and local authority of residence in London.","Modelled counts of patients registered at a GP practice by single year of age (0-95+), sex, and local authority of residence. Based on NHS Digital data including counts of patients by practice attended, sex, LSOA of residence, and single year of age. Published quarterly. Used for population estimation and health planning.",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/download/e561x/a21f2771-6b57-4653-8caf-caf4075ecda1/gp_sya_lad.csv,UK Open Government Licence (OGL v3),Quarterly,CSV,UNKNOWN,Oct 2014 to present,Greater London (local authority level),Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"GP, patients, population, demography, NHS, health",snowflake,High,"Groups: Demographics, Health. Smallest Geography: Local Authority. Resources: 5."
Modelled estimates of recent births,2w43n,Modelled estimates of annual live births by year ending date derived from GP registration data to provide more timely birth trend estimates than ONS figures.,"Modelled estimates of annual live births by year ending date. Official birth estimates from ONS have a 9-12 month lag, so the GLA Demography team produces modelled estimates based on counts of infants registered with GP practices. Modelled estimates can be produced with the same frequency and latency as NHS Digital data releases.",Demographics,Greater London Authority (GLA),https://data.london.gov.uk/download/2w43n/9698d0b1-663c-4594-8687-67469ce07e6d/actual_and_predicted_births.csv,Creative Commons Attribution,Quarterly,CSV,UNKNOWN,Jul 1991 to present,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"births, demography, population, GLA, modelled",snowflake,High,"Groups: Demographics, Young People. Smallest Geography: Local Authority. Resources: 3."
MPS AntiSocialBehaviour,2k533,Monthly Metropolitan Police anti-social behaviour incident counts by borough and ward from March 2025.,"Anti-social behaviour (ASB) is defined as behaviour causing or likely to cause harassment, alarm or distress to persons not of the same household. The MPS classifies ASB under 13 headings qualified as Personal, Nuisance, and Environmental in line with the National Standard for Incident Recording. Data covers the most recent 12 months at ward and borough level.",Other,Metropolitan Police Service,https://data.london.gov.uk/download/2k533/7e409c25-aa70-4595-9077-7026958afeb8/M2045_MPS_Antisocial_Behaviour.csv,UK Open Government Licence (OGL v2),Monthly,CSV,UNKNOWN,Mar 2025 to Feb 2026,Greater London (ward level),Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"ASB, anti-social behaviour, MPS, borough, ward, incidents",snowflake,Medium,"Groups: Crime and Community Safety. Smallest Geography: Ward. Resources: 1."
Use of Force Dataset,vdj3o,Metropolitan Police use of force records by officer and subject including taser deployment injury and public order incidents from April 2017.,"Recording of use of force was introduced in April 2017. Each row represents use of force by an officer on one subject. Where more than one officer uses force on the same subject this will appear as multiple rows. Data covers taser/CED use, physical restraint, injury type, and public order context. Updated monthly.",Public Safety,Metropolitan Police Service,https://data.london.gov.uk/download/vdj3o/867ab926-c97d-445a-b9e5-fd08b9615c16/MPS%20Use%20of%20Force%20-%20FY25-26.xlsx,Creative Commons Attribution Share-Alike,Monthly,Spreadsheet,UNKNOWN,Apr 2017 to Feb 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"use of force, taser, CED, MPS, police, injury, public order",snowflake,High,"Groups: Crime and Community Safety. Smallest Geography: Borough. Resources: 9."
MPS Dedicated Ward Officer Abstractions and Strengths,e16kd,Aggregated monthly data on Metropolitan Police dedicated ward officer abstraction minutes and team strength by borough from May 2018.,"The Dedicated Ward Officer Abstraction dataset contains aggregated data to team level showing the number of minutes of abstractions for each team per month. Fields include Month, BCU, Borough, Borough Code, Team, Abstracted from Duty minutes, and team strength figures. Updated monthly.",Public Safety,Metropolitan Police Service,https://data.london.gov.uk/download/e16kd/jrl/DWOAbstractions.xlsx,UNKNOWN — check publisher terms,Monthly,Spreadsheet,UNKNOWN,May 2018 to Feb 2026,Greater London (borough level),Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"MPS, ward officers, abstractions, strength, borough, policing",snowflake,High,"Groups: Crime and Community Safety. Smallest Geography: Borough. Resources: 8."
London Health Inequalities Strategy Indicators,29z80,Fourteen headline population health indicators tracking London's progress in reducing health inequalities across key themes including life expectancy and obesity.,"The Mayor's Health Inequalities Strategy sets out plans to make London a healthier, fairer city. This dataset reports 14 headline population health indicators monitoring London's progress in reducing health inequalities over ten years. Themes include healthy life expectancy (male and female), childhood obesity, mental health, air quality, and access to green space.",Health,Greater London Authority (GLA),https://data.london.gov.uk/download/29z80/f1fe465e-890e-423b-8dc8-1fa93769d2a1/London%20HIS%20indicators%20data%20-%20February%202026.xlsx,UK Open Government Licence (OGL v3),Annual,Spreadsheet,UNKNOWN,2016 to 2026,Greater London,Free bulk download,UNKNOWN — visit source URL to inspect column headers,UNKNOWN — visit source URL for sample data,"health inequalities, life expectancy, obesity, mental health, GLA, strategy",snowflake,High,"Groups: Health. Smallest Geography: Borough. Resources: 1."
