title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
NHS England A&E Attendances and Emergency Admissions,nhs-ae-attendances,"Monthly A&E attendances, emergency admissions and four-hour wait performance for NHS trusts in England.","NHS England publishes monthly statistics on accident and emergency department activity. Covers total A&E attendances, emergency admissions and performance against the four-hour wait standard by NHS trust. London trusts (UCLH, Barts, KCH, St George's etc.) are identifiable. Data from August 2010. Widely used for NHS capacity and performance analysis.",Health,NHS England,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"CSV, Excel",Monthly by ~250 NHS trusts,August 2010 to present,England; NHS trust level,Free download,period|date|Reporting month;org_code|string|NHS organisation code;org_name|string|Trust name;ae_attendances|integer|Total A&E attendances;within_4hrs_pct|float|% seen within 4 hours,2024-12|RJ1|Guys and St Thomas NHS Foundation Trust|48000|74.2,"nhs,a&e,emergency,hospital,waiting times,health,london trusts,capacity",snowflake,High,
NHS England Referral to Treatment Waiting Times,nhs-rtt-waiting-times,Weekly NHS referral to treatment (RTT) waiting time statistics by trust and specialty.,"Weekly statistics on NHS referral to treatment (RTT) pathways measuring the time from GP referral to start of treatment. Data covers the number of patients waiting, median and 92nd percentile waiting times, and performance against the 18-week standard. Published by trust and specialty. London NHS trusts have among the longest waiting lists nationally.",Health,NHS England,https://www.england.nhs.uk/statistics/statistical-work-areas/rtt-waiting-times/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Weekly,"CSV, Excel",Weekly by trust and specialty,August 2007 to present,England; NHS trust level,Free download,period|date|Reporting period end date;org_code|string|NHS trust code;treatment_function|string|Clinical specialty;total_waiting|integer|Total on incomplete pathway;within_18_weeks_pct|float|% within 18 weeks,2024-12-29|RJ1|300 General Surgery|4500|64.2,"nhs,waiting times,rtt,referral,treatment,health,backlog,elective,surgery,london",snowflake,High,
NHS GP Patient Registrations,nhs-gp-patient-registrations,Monthly counts of patients registered at each GP practice in England by age and sex.,"NHS England publishes monthly extracts of the number of patients registered at each GP practice in England, broken down by single year of age and sex. Covers all ~6,500 GP practices. London practices identifiable by ODS code. Used for NHS planning, population modelling and demand forecasting. Data from 2014.",Health,NHS England,https://digital.nhs.uk/data-and-information/publications/statistical/patients-registered-at-a-gp-practice,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,CSV,"Monthly by ~6,500 GP practices",2014 to present,England; GP practice level,Free download,org_code|string|GP practice ODS code;practice_name|string|Practice name;postcode|string|Practice postcode;total_patients|integer|Total registered patients;male_pct|float|% male patients,E87003|WEST END MEDICAL CENTRE|W1G 8AU|8500|48.2,"gp,patients,nhs,health,primary care,population,demographics,london practices",snowflake,High,
NHS Prescription Cost Analysis,nhs-prescription-cost-analysis,"Annual and monthly prescription dispensing data by drug, quantity and cost for NHS England.","NHS Business Services Authority publishes annual prescription cost analysis data showing all items dispensed by community pharmacies and dispensing doctors. Includes drug name, BNF code, quantity dispensed, net ingredient cost and number of items. Monthly data available via Open Prescription Data. London CCG/ICB-level breakdowns available.",Health,NHS Business Services Authority,https://digital.nhs.uk/data-and-information/publications/statistical/prescription-cost-analysis,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual (monthly raw data available),"CSV, Excel",Billions of prescription lines annually,1999 to present,England; ICB/CCG level,Free download,bnf_code|string|British National Formulary code;bnf_name|string|Drug name;items|integer|Number of prescription items;nic|float|Net ingredient cost £;actual_cost|float|Actual cost to NHS £,"0212000AA|Atorvastatin|42000000|£89,000,000|£98,000,000","nhs,prescriptions,drugs,pharmaceuticals,cost,medicines,health,gp,london",snowflake,Medium,Monthly raw data at prescriber level via OpenPrescribing.net
TfL Unified API,tfl-unified-api,"Real-time and timetable data for all TfL services: Tube, bus, Overground, DLR, Elizabeth line, cycle hire and roads.","The Transport for London Unified API provides programmatic access to live arrivals, timetables, disruptions, journey planning, stop points and status across all TfL modes. Endpoints include: arrivals at stops, line status, journey planner, air quality, road disruptions, cycle hire availability and cycle route information. Requires free API key. Widely used by journey planning apps.",Transportation,Transport for London (TfL),https://api.tfl.gov.uk/,CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/,Real-time,JSON REST API,Real-time across all TfL services,Real-time; some historical,Greater London,Free API — API key required,line_id|string|TfL line identifier;mode_name|string|Tube/Bus/Elizabeth line etc;destination_name|string|Terminus;time_to_station|integer|Seconds until arrival;vehicle_id|string|Vehicle identifier,central|tube|Epping|180|012,"tfl,transport,tube,bus,api,real-time,arrivals,london,journey planner,elizabeth line",api,High,Free API key from api.tfl.gov.uk. Rate limits apply.
TfL Bus Routes and GTFS Timetables,tfl-bus-gtfs,"GTFS timetable data for all TfL bus routes including stops, schedules and route geometry.","TfL publishes General Transit Feed Specification (GTFS) data for all bus routes operated in London. Includes stop locations, route geometry, scheduled departure times and service calendars. Updated quarterly. Used by journey planning applications, accessibility tools and transport modellers. Supplementary route performance data also available.",Transportation,Transport for London (TfL),https://tfl.gov.uk/info-for/open-data-users/our-open-data,CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/,Quarterly,GTFS (ZIP),"700+ bus routes; 19,000+ stops",Current timetables,Greater London,Free download — API key required,route_id|string|Bus route number;route_long_name|string|Route description;stop_id|string|Bus stop identifier;stop_lat|float|Stop latitude;stop_lon|float|Stop longitude,1|Tottenham Court Road - Canada Water|490000165R|51.5074|-0.1278,"tfl,bus,gtfs,timetables,routes,stops,public transport,london,transit",api,High,
TfL Santander Cycles BikePoint API,tfl-santander-cycles-api,Real-time availability of bikes and docking spaces at all Santander Cycle Hire docking stations in London.,"The TfL BikePoint API provides real-time information on all Santander Cycle Hire docking stations in London. Returns station name, location (lat/lon), total docking points, available bikes, available spaces and whether the station is installed and locked. Over 800 stations. Updates approximately every 2 minutes.",Transportation,Transport for London (TfL),https://api.tfl.gov.uk/BikePoint,CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/,Real-time (~2 min),JSON REST API,800+ docking stations,Real-time,Greater London (central),Free API — API key required,id|string|Station identifier;commonName|string|Station name;lat|float|Latitude;lon|float|Longitude;nbBikes|integer|Available bikes;nbDocks|integer|Available docking spaces,"BikePoints_1|River Street , Clerkenwell|51.5292|-0.1097|8|14","tfl,cycling,bikes,cycle hire,santander,bikeshare,api,real-time,london",api,Medium,
OS Open UPRN,os-open-uprn,Unique Property Reference Numbers and coordinates for 39+ million properties and addressable objects in Great Britain.,"OS Open UPRN provides the UPRN (Unique Property Reference Number) and grid reference coordinates for every addressable location in Great Britain. Over 39 million records covering residential, commercial, agricultural and other properties. Essential for linking datasets by property address. Released under open licence since 2020. Updated quarterly.",Real Estate,Ordnance Survey,https://osdatahub.os.uk/downloads/open/OpenUPRN,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,"CSV, GeoPackage",39+ million UPRNs,Current,Great Britain,Free download — OS Data Hub registration required,uprn|integer|Unique Property Reference Number;x_coordinate|float|Easting (BNG);y_coordinate|float|Northing (BNG);latitude|float|WGS84 latitude;longitude|float|WGS84 longitude,100023336956|530674|181353|51.5074|-0.1278,"uprn,address,property,ordnance survey,os,spatial,gis,linking,great britain,postcodes",snowflake,High,Key join field for linking multiple datasets. Critical infrastructure dataset.
OS Open Roads,os-open-roads,"Network topology data for all roads in Great Britain including road links, nodes, names and classifications.","OS Open Roads provides a network dataset of all roads in Great Britain with topology (road links, road nodes, routing and road information). Includes road names, road numbers, road classification (motorway, A-road, B-road, minor road) and form of way. Used for route planning, traffic analysis and GIS applications. Updated quarterly.",Transportation,Ordnance Survey,https://osdatahub.os.uk/downloads/open/OpenRoads,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,"GeoPackage, Shapefile, GML",~3.5 million road links,Current,Great Britain,Free download — OS Data Hub registration required,identifier|string|Road link GUID;road_name|string|Named road;road_classification|string|Motorway/A Road/B Road/Minor Road;length_m|float|Link length in metres,osgb5000005156924|A4|A Road|850.4,"roads,network,routing,os,ordnance survey,gis,transport,spatial,a-roads,motorways",snowflake,Medium,
OS Code-Point Open,os-code-point-open,Geographic coordinates (centroid) for every postcode unit in Great Britain — 1.7 million postcodes.,"OS Code-Point Open provides the grid reference of the mean position of addresses within each postcode unit in Great Britain. Covers all 1.7 million live postcode units with OS grid coordinates (easting/northing) and WGS84 coordinates. Includes quality indicator, county code, district code and ward code. Essential for postcode-level geographic analysis.",Demographics,Ordnance Survey,https://osdatahub.os.uk/downloads/open/CodePointOpen,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,CSV,1.7 million postcodes,Current,Great Britain,Free download — OS Data Hub registration required,postcode|string|Unit postcode;positional_quality|integer|Quality indicator (1=address matched to property);easting|integer|OS Grid easting;northing|integer|OS Grid northing;district_code|string|Local authority code,EC1A 1BB|10|532085|181499|E09000019,"postcode,coordinates,os,ordnance survey,geography,spatial,london,geocoding,census",snowflake,High,
