title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
HMRC PAYE in Numbers — Monthly Payroll Statistics,hmrc-paye-in-numbers,"Monthly UK payrolled employees and median pay by region, sector, age, and pay band from HMRC Real Time Information.","Official joint HMRC-ONS monthly statistics on payrolled employees and earnings derived from Pay As You Earn Real Time Information submissions. Covers 30+ million employees with breakdowns by NUTS1/2/3 region, Standard Industrial Classification sector, age band, and pay band. Provides flash estimates within 6 weeks of month-end with ~85% record coverage, followed by final estimates. An essential leading labour market indicator for macroeconomic modelling and sector-level employment analysis.",Demographics,HM Revenue and Customs / Office for National Statistics,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/bulletins/earningsandemploymentfrompayasyouearnrealtimeinformationuk/latest,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"Excel, CSV","30,300,000+ employees",January 2015 to present,UK national; NUTS1/2/3 regions; local authorities,Free bulk download; ONS API,Payrolled_Employees|integer|Total payrolled employee count by breakdown;Median_Pay|currency|Median earnings in GBP;Mean_Pay|currency|Mean earnings in GBP;Region|string|NUTS region classification;Industry_SIC|string|Standard Industrial Classification code;Pay_Band|string|Pay band bracket;Age_Group|string|Employee age cohort,UNKNOWN,"payroll,employment,earnings,regional,sector,rti,labour market,wages,paye,real time information",api,High,Flash estimates published ~6 weeks after month end; final estimates follow. Seasonally adjusted and unadjusted series available. Joint HMRC/ONS publication.
National Grid ESO — Carbon Intensity API,national-grid-carbon-intensity-api,Real-time and forecast carbon intensity (gCO2/kWh) for GB electricity system with 30-minute granularity and 96-hour forecast.,"The National Energy System Operator (NESO) provides a free public REST API delivering actual and forecast carbon intensity for the Great Britain electricity grid, updated every 30 minutes. Covers 96+ hour forecast horizon using machine-learning nowcasting. Regional breakdown across 14 GB zones also available. Essential for energy-focused financial firms modelling dispatch economics, renewable asset valuations, and carbon-weighted power purchase agreements.",Environment,National Energy System Operator (NESO),https://www.carbonintensity.org.uk/,Creative Commons Attribution 4.0 — https://creativecommons.org/licenses/by/4.0/,Real-time,"JSON, REST API",UNKNOWN,2018 to present; 96-hour forecast horizon,Great Britain (national and 14 regional zones),Free API — no registration required,from|timestamp|Period start ISO8601 UTC;to|timestamp|Period end ISO8601 UTC;intensity.forecast|decimal|Forecast carbon intensity gCO2/kWh;intensity.actual|decimal|Actual carbon intensity gCO2/kWh;intensity.index|string|Qualitative band (very low/low/moderate/high/very high),UNKNOWN,"carbon intensity,electricity,grid,real time,forecast,emissions,energy,renewable,carbon,dispatch economics",api,High,No authentication required. Historical archive available. 14 regional endpoints. Also see Elexon BMRS for generation mix and balancing data.
Elexon BMRS — Balancing Mechanism Reporting System,elexon-bmrs-api,"Real-time UK electricity generation mix, demand, system frequency, and BM unit-level data from National Grid Elexon.","Elexon's public Balancing Mechanism Reporting Service API provides live and historical electricity system data for Great Britain including generation by fuel type (wind, solar, gas, nuclear, coal), system demand forecasts, and BM unit-level bid/offer data. Data updated in 5–60-minute intervals by type. Royalty-free perpetual licence with attribution. Used by energy traders, power desks, and sustainability analysts for intraday market operations and generation-mix analysis.",Environment,Elexon Limited,https://bmrs.elexon.co.uk/api-documentation,"Elexon Limited Perpetual Licence (royalty-free, non-exclusive) — https://bmrs.elexon.co.uk/",Real-time,"JSON, REST API, CSV export",UNKNOWN,Real-time; historical archive available,Great Britain,Free API — no key required for public endpoints,PublishingPeriodStartTime|timestamp|Period start UTC;PublishingPeriodEndTime|timestamp|Period end UTC;Generation_MW|decimal|Generated capacity in MW;Fuel_Type|string|GAS/WIND/NUCLEAR/COAL/HYDRO etc;Demand_MW|decimal|System demand in MW;System_Frequency_Hz|decimal|Grid frequency in Hertz,UNKNOWN,"balancing mechanism,electricity,generation,demand,grid,real time,fuel mix,settlement,dispatch,energy",api,High,Attribution required: 'Contains BMRS data © Elexon Limited'. Developer portal at developer.data.elexon.co.uk. Data Push Service also available.
HMRC VAT Registrations and Deregistrations by Industry,hmrc-vat-registrations-deregistrations,Quarterly and annual VAT business registrations and deregistrations by SIC sector — a leading indicator of business formation and closures.,"HMRC administrative VAT Data Mart statistics covering quarterly and annual new business registrations and deregistrations by Standard Industrial Classification sector. Covers 2.33 million VAT-registered traders with regional and industry breakdowns. In 2023-24, 238,176 new registrations and 273,768 deregistrations were recorded. Acts as a high-frequency business demography signal reflecting entrepreneurship, sector health, and economic activity cycles — widely used by credit analysts and macro funds.",Corporate Registries,HM Revenue and Customs (HMRC),https://www.nomisweb.co.uk/articles/392.aspx,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,"Excel, CSV","2,330,000+ registered traders",1990s to present (quarterly),UK national; regional; local authority,Free download via Nomis; ONS API,VAT_Registrations|integer|New registrations in period;VAT_Deregistrations|integer|Deregistrations in period;Industry_SIC|string|Standard Industrial Classification;Industry_Name|string|Sector description;Region|string|Geographic region;Reference_Period|string|Quarter or year,"2023-24|Accommodation and food services|England|9,234|10,117;2023-24|Information and communication|England|18,902|11,340","vat,business demography,registrations,deregistrations,sic,entrepreneurship,uk business,sector,quarterly,nomis",api,High,"2023-24: net -35,592 businesses. Available via Nomis API and direct GOV.UK download. Leading indicator for credit risk and sector concentration models."
DWP Stat-Xplore — Universal Credit and Benefit Claimants,dwp-stat-xplore-benefit-claimants,"Monthly Universal Credit, JSA, and legacy benefit claimant counts by local authority, age group, and sector via REST API.","Department for Work and Pensions' Stat-Xplore platform provides detailed Universal Credit and legacy benefit claimant counts disaggregated by local authority, ward, age cohort, and economic inactivity reason. Millions of claimants tracked through the UC migration (completing March 2026). Offers both interactive web tool and JSON REST API for programmatic access. Critical for financial sector analysis of regional labour market slack, consumer credit stress, and social support trend analysis.",Demographics,Department for Work and Pensions (DWP),https://stat-xplore.dwp.gov.uk/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"CSV, JSON REST API",Millions of claimants (monthly snapshots),2013 to present,UK local authorities; regions; national,Free API — registration required; web portal,Period|string|Month and year snapshot;Geography|string|Local authority or region code;Age_Group|string|Claimant age band;Claimant_Count|integer|Number of claimants;Benefit_Type|string|UC/JSA/legacy benefit type,UNKNOWN,"universal credit,benefits,claimants,dwp,welfare,geography,age,social security,labour market,api",api,High,REST API with schema and table endpoints. API key required (free registration). Contact stat.xplore@dwp.gov.uk. UC migration completing March 2026.
ONS Weekly Shipping Indicators,ons-weekly-shipping-indicators,Weekly vessel visit counts to 15+ major UK ports from AIS tracking — a real-time proxy for goods trade and logistics activity.,"ONS publishes weekly vessel movement counts for 15+ major UK ports (Southampton, Felixstowe, Dover, Hull, Liverpool, Grimsby, Tyne, Forth, Belfast, and others) based on Automatic Identification System tracking data. Broken down by vessel type (cargo, tanker, all). Published weekly on Thursdays with 1-week lag. Provides a high-frequency leading indicator for goods trade flows used by macro analysts and port-exposed credit investors.",Transportation,Office for National Statistics,https://www.ons.gov.uk/economy/economicoutputandproductivity/output/datasets/weeklyshippingindicators,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Weekly,"CSV, Excel",15+ ports × 52+ weeks per year,2013 to present,15+ major UK ports,Free bulk download; ONS API,Week_Commencing|date|Monday start of week;Port_Name|string|UK port name;All_Vessels|integer|Total ship visits;Cargo_Vessels|integer|Cargo vessel visits;Tanker_Vessels|integer|Tanker visits;Unique_Ships|integer|Distinct vessel count,UNKNOWN,"shipping,ports,trade,logistics,faster indicators,weekly,economic activity,ais,goods trade,transportation",api,Medium,Part of ONS Faster Indicators suite. Based on AIS tracking. Contact realtime.indicators@ons.gov.uk. Published Thursdays.
ONS UK Spending on Credit and Debit Cards,ons-credit-debit-card-spending,Weekly seasonally adjusted UK consumer card spending from Bank of England CHAPS and Barclaycard POS data.,"ONS experimental statistics tracking UK consumer spending volumes via aggregated debit and credit card transactions, sourced from Bank of England CHAPS settlement data and Barclaycard point-of-sale terminals. Available weekly with a 1-week lag. Provides near-real-time consumer demand signal broken down by discretionary and essential spending categories. Essential for retail sector analysis, consumer credit stress monitoring, and GDP nowcasting.",Financial Regulation,Office for National Statistics / Bank of England / Barclaycard,https://www.ons.gov.uk/economy/economicoutputandproductivity/output/datasets/ukspendingoncreditanddebitcards,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Weekly,"CSV, Excel",National aggregate time series from June 2023,June 2023 to present,United Kingdom,Free bulk download; ONS API,Date|date|Week ending date;Card_Spending_Index|decimal|Indexed spending value;YoY_Growth|decimal|Year-on-year percentage change;Category|string|Discretionary or essential;Seasonally_Adjusted|boolean|SA flag,UNKNOWN,"consumer spending,credit cards,debit cards,real time indicator,economic activity,retail,weekly,nowcasting,barclaycard,payment data",api,High,Experimental official statistics. Published Fridays. Contact realtime.indicators@ons.gov.uk. CHAPS + Barclaycard POS sources.
AISstream.io — Global Real-Time Vessel Tracking,aisstream-global-ais,"Free WebSocket stream of 300 msgs/sec real-time global vessel positions, speed, and identity from the AIS network.","AISstream.io provides free WebSocket API access to a global stream of Automatic Identification System data delivering vessel positions, identities, and maritime activity signals at ~300 messages per second. Financial firms use vessel tracking as a proxy for commodity trade volume, shipping congestion, and supply chain stress. Filterable by vessel MMSI and message type. Useful for monitoring port activity at Felixstowe, Southampton, and major commodity terminals as an economic activity leading indicator.",Transportation,aisstream.io,https://aisstream.io/,Free (community licence — check publisher terms for commercial use),Real-time,"JSON, WebSocket",300 messages/second global,Real-time,Global (terrestrial AIS network coverage),Free WebSocket API — registration required within 3 seconds of connection,mmsi|string|Maritime Mobile Service Identity;latitude|decimal|WGS-84 latitude;longitude|decimal|WGS-84 longitude;cog|decimal|Course over ground in degrees;sog|decimal|Speed over ground in knots;nav_status|string|Navigation status code;vessel_type|string|Ship type classification,UNKNOWN,"ais,vessel tracking,maritime,trade,shipping,real time,websocket,global,cargo,economic signals",api,High,Free tier available. Paid tiers for higher throughput. Terrestrial coverage only (not satellite). For historical AIS see MarineTraffic or Kpler (commercial).
OpenSky Network — Global ADS-B Aircraft Tracking,opensky-ads-b-aircraft,"Free REST API with real-time and historical ADS-B aircraft position, altitude, and velocity — cargo movements as economic activity signal.","OpenSky Network aggregates ADS-B Mode S surveillance data from thousands of ground receivers worldwide. Free API provides aircraft state vectors including position, altitude, velocity, and callsign with 4,000 calls/day for authenticated users. Financial firms track air cargo flight activity as a proxy for supply chain velocity, business confidence, and cross-border trade flows. Historical archive covers multiple years enabling trend analysis by airline, route, or airport.",Transportation,OpenSky Network Association,https://opensky-network.org/,Non-commercial research use — check publisher terms for commercial,Real-time; historical archive updated daily,"JSON, REST API",UNKNOWN — global aircraft population,Real-time; historical archive (multiple years),Global (terrestrial receiver network),"Free REST API — registration required; 4,000 calls/day authenticated",icao24|string|ICAO24 address in hex;callsign|string|Aircraft callsign;latitude|decimal|WGS-84 latitude degrees;longitude|decimal|WGS-84 longitude degrees;geo_altitude|decimal|Geometric altitude in metres;velocity|decimal|Ground speed in m/s;true_track|decimal|Heading in degrees;vertical_rate|decimal|Climb/descent rate m/s;on_ground|boolean|Surface position flag,UNKNOWN,"ads-b,aircraft tracking,cargo,aviation,freight,real time,historical,economic signals,supply chain,trade",api,High,"Rate limits: 100 calls/day anonymous; 4,000 authenticated; 8,000 for sensor contributors. Non-commercial licence for direct access — negotiate commercial use. ADS-B contributors get enhanced access."
London Gazette — Statutory Notices Feed,london-gazette-notices-feed,"Structured XML/JSON feed of UK statutory notices: insolvencies, winding-up petitions, company notices, and government procurement.","The London Gazette publishes machine-readable statutory notices in Atom XML and JSON formats covering corporate insolvencies, liquidation appointments, company dissolutions, bankruptcy orders, and government tender notices. Updated on weekdays. Historical notices from 1998+ available. Hedge funds and credit analysts use insolvency notice flows as early signals of credit stress and potential M&A activity. Each notice is structured with company name, registration number, notice type, and date.",Legal,The Gazette (HM Stationery Office),https://www.thegazette.co.uk/developer,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily (weekdays),"Atom XML, JSON, REST API",Millions of historical notices from 1998,1998 to present,"England, Wales, Scotland, Northern Ireland",Free API — REST/Atom XML; no registration required,notice_type|string|Notice category code;company_name|string|Entity name;company_registration|string|Companies House number;insolvency_type|string|Liquidation/administration/IVA;notice_date|date|Publication date;creditor_value|currency|Debt amount if applicable;notice_text|string|Full notice content,UNKNOWN,"insolvency,statutory notices,credit signals,liquidation,winding up,company notices,legal,gazette,procurement,early warning",api,High,API documentation on GitHub at github.com/TheGazette/DevDocs. Atom XML and JSON-LD formats. Key use: credit risk teams monitoring insolvency flow for systemic stress. Also London Gazette XML data published as part of national digital archive.
