title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
SRA Solicitors Register,sra-solicitors-register,"Searchable register of all SRA-regulated solicitors, law firms and other legal service providers in England and Wales.","The Solicitors Regulation Authority maintains a public register of all regulated solicitors (160,000+), law firms, licensed bodies and approved regulators. Data includes solicitor name, firm name, town, authorisation status, areas of law and any regulatory history. Available via web search and bulk download. High value for legal market analysis and client due diligence.",Legal,Solicitors Regulation Authority,https://www.sra.org.uk/consumers/register/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily,"CSV, JSON API","160,000+ solicitors; 10,000+ firms",Current register,England and Wales,Free web search; bulk download available,id|string|SRA ID number;first_name|string|First name;last_name|string|Last name;firm_name|string|Employer firm;status|string|Authorised/Suspended/Struck off,12345|John|Smith|Clifford Chance LLP|Authorised,"solicitors,lawyers,sra,legal,law firms,register,regulated,compliance,london",snowflake,High,
GMC List of Registered Medical Practitioners,gmc-medical-register,"Complete register of all licensed doctors in the UK with specialty, registration status and revalidation information.","The General Medical Council maintains the List of Registered Medical Practitioners (LRMP) containing all doctors licensed to practise in the UK. Approximately 350,000+ records. Available as a downloadable dataset with name, GMC reference number, registration date, primary qualification, specialty and registration status. Updated daily. The Data Explorer tool allows custom queries.",Health,General Medical Council,https://www.gmc-uk.org/registration-and-licensing/the-medical-register,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily,"CSV (Data Explorer), web search","350,000+ registered doctors",Current register,United Kingdom,Free search; bulk export via Data Explorer,gmc_number|string|GMC reference number;given_name|string|First name;family_name|string|Surname;specialty|string|Primary specialty;status|string|Registered/Suspended/Erased,1234567|Jane|Doe|General Practice|Registered,"gmc,doctors,medical,register,health,gp,specialist,nhs,licensed,practitioner",snowflake,High,Full register bulk download may require formal request to GMC.
NMC Register of Nurses and Midwives,nmc-nurses-register,"Annual de-identified dataset of all registered nurses, midwives and nursing associates in the UK.","The Nursing and Midwifery Council publishes an annual open dataset of all registered nurses, midwives and nursing associates in the UK. Over 860,000 registrants. The open data version is de-identified but includes registration type, year of first registration, country of training, field of practice (adult/child/mental health/learning disability) and employment sector. Real-time register searchable on website.",Health,Nursing and Midwifery Council,https://www.nmc.org.uk/about-us/reports-and-accounts/registration-statistics/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,CSV,"860,000+ registrants",Annual snapshots,United Kingdom,Free download,registration_type|string|Nurse/Midwife/Nursing Associate;year_first_registered|integer|Year of initial registration;country_of_training|string|Country where trained;field_of_practice|string|Adult/Child/Mental Health/LD;employment_sector|string|NHS/Independent/Education,Nurse|2018|England|Adult|NHS,"nmc,nurses,midwives,register,health,nhs,nursing,workforce,registered",snowflake,Medium,
ARB Register of Architects,arb-architects-register,"Statutory register of all 42,000+ architects in the UK — the only legal route to the title of ""architect"".","The Architects Registration Board maintains the statutory register of all individuals legally entitled to use the title ""architect"" in the UK. ~42,000 registrants. Download contains name, registration number, registered address (business or personal), registration type (Part 1/2/3) and qualifications. Annual bulk download available.",Other,Architects Registration Board,https://arb.org.uk/architect-information/the-register/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,CSV,"42,000+ architects",Current register,United Kingdom,Free download,registration_number|string|ARB registration number;first_name|string|First name;last_name|string|Surname;address_town|string|Town/city of practice;qualification|string|Primary qualification,083007D|James|Foster|London|B.Arch,"architects,arb,register,buildings,planning,design,construction,london,professional",snowflake,Low,
EPC Energy Performance Certificates Bulk Data,epc-bulk-download,Energy efficiency ratings for 30+ million domestic and non-domestic properties in England and Wales.,"The MHCLG publishes bulk download access to all Energy Performance Certificates (EPCs) lodged since 2008 for domestic and non-domestic properties. Over 30 million records. Each certificate includes property address (with UPRN), energy efficiency rating (A-G), potential rating, property type, floor area, heating type, and environmental impact rating. Updated daily. Comprehensive London coverage.",Real Estate,"Ministry of Housing, Communities & Local Government (MHCLG)",https://epc.opendatacommunities.org/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily,CSV,30+ million certificates,2008 to present,England and Wales,Free bulk download — registration required,uprn|integer|Unique Property Reference Number;address|string|Full property address;postcode|string|Postcode;current_energy_rating|string|A-G rating;property_type|string|House/Flat/Bungalow etc;total_floor_area|float|Floor area m²,100023336956|15 High Street|EC1A 1BB|C|Flat|65.0,"epc,energy,efficiency,property,housing,sustainability,green,climate,london,uprn",snowflake,High,"Highly valuable for housing, climate and property use cases. 30M records — requires bulk download split by local authority."
Bank of England Bankstats,bank-of-england-bankstats,"Monthly statistical tables on UK monetary and financial statistics including money supply, lending and interest rates.","The Bank of England publishes Bankstats — a comprehensive collection of monthly statistical tables on UK monetary and financial sector activity. Covers: monetary aggregates (M4), bank lending to households and businesses, consumer credit, mortgage approvals, sterling interest rates, exchange rates and bank balance sheets. Time series back to 1963 for some indicators.",Financial Regulation,Bank of England,https://www.bankofengland.co.uk/statistics/tables,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Monthly,"Excel, CSV",Thousands of monthly time series,1963 to present (varies),United Kingdom,Free download,series_code|string|BoE series identifier;description|string|Series title;date|date|Reference month;value|float|Statistical value;units|string|£ millions/% etc,LPMVWYR|M4 lending to private sector|2024-12|3456789|£ millions,"bank of england,money supply,lending,mortgages,interest rates,credit,monetary,financial,m4",snowflake,High,
Bank of England Interactive Statistical Database,boe-statistical-database,"Interactive database of 50,000+ Bank of England statistical series covering banking, financial markets and the economy.","The BoE Statistical Interactive Database (IADB) provides access to 50,000+ statistical time series covering UK monetary, banking, financial market and economic statistics. Topics include interest rates, exchange rates, equity prices, gilt yields, bank lending, consumer credit, monetary aggregates and balance of payments. API access available for programmatic queries.",Financial Regulation,Bank of England,https://www.bankofengland.co.uk/boeapps/database/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Daily/Monthly (series dependent),"CSV, Excel, API","50,000+ time series",Varies by series; some from 1694,United Kingdom,Free download and API,series_code|string|Series identifier;series_name|string|Description;date|date|Observation date;value|float|Observation value,IUDBEDR|Bank Rate|2024-12-31|4.75,"bank of england,interest rates,gilt yields,exchange rates,financial markets,api,statistics",api,High,
VOA Non-Domestic Rating Valuations (Business Rates),voa-business-rates,Rateable values and property details for all non-domestic (commercial) properties in England.,"The Valuation Office Agency publishes non-domestic rating valuation data for all commercial properties in England subject to business rates. Data includes property address (with UARN), description, rateable value, assessment basis and measurements. Updated at each revaluation (2017 and 2023 lists available). Over 2 million commercial properties including the full London commercial property stock.",Real Estate,Valuation Office Agency,https://www.gov.uk/government/statistical-data-sets/non-domestic-rating-business-rates-statistics,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,At each revaluation (major) + in-year changes,CSV,2+ million commercial properties,2017 list; 2023 list (current),England,Free download,uarn|string|Unique Assessment Reference Number;firm_name|string|Occupier name;property_address|string|Property address;scat_code|string|Special Category code (property type);rateable_value|integer|Rateable value £,1234567890|Tesco Stores Ltd|High Street London EC1A 1BB|249|450000,"business rates,commercial property,voa,rateable value,retail,offices,london,ndr,rates",snowflake,High,"High commercial value for retail, property and economic analysis."
VOA Council Tax Bands,voa-council-tax-bands,"Council tax band (A-H) for every residential property in England, with address and local authority.","The Valuation Office Agency publishes council tax banding data for all residential properties in England. Over 26 million properties with band (A-H), full address, local authority code and billing authority. Useful for housing valuation analysis, linking to EPC and price paid data, and understanding residential property distribution across London boroughs.",Real Estate,Valuation Office Agency,https://www.gov.uk/government/statistical-data-sets/council-tax-statistics,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Irregular,CSV,26+ million properties,Current,England,Free download,ba_code|string|Billing authority code;property_id|string|Property identifier;address|string|Full address;postcode|string|Postcode;band|string|Council tax band A-H,E09000019|12345678|1 High Street London|EC1A 1BB|E,"council tax,bands,residential,property,voa,housing,london,valuation,domestic",snowflake,High,
DfT Road Traffic Statistics,dft-road-traffic-statistics,"Annual and monthly vehicle counts on all A-roads and motorways in Great Britain, with local road estimates.","The Department for Transport publishes road traffic statistics covering vehicle counts from the permanent automatic traffic counters (ATC) network and manual counts. Data available at link level for major roads, and local authority aggregate estimates for minor roads. Covers all vehicle types (cars, LGVs, HGVs, motorcycles, pedal cycles). Annual major road traffic data extends back to 1993.",Transportation,Department for Transport,https://roadtraffic.dft.gov.uk/,Open Government Licence v3.0 — https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual (monthly provisional),CSV,Millions of count records by year and road,1993 to present,Great Britain; London borough level,Free download,count_point_id|string|Count point reference;local_authority_name|string|Local authority;road_name|string|Road name or number;year|integer|Reference year;aadf|integer|Annual average daily flow (vehicles),78301|Tower Hamlets|A13|2023|65000,"traffic,roads,vehicles,dft,transport,counts,a-roads,london,congestion,aadf",snowflake,High,
