title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Optimise Prime,e16lp,"Optimise Prime has gathered data from over 6,000 Electric Vehicles (EVs) driven for commercial purposes through three trials. The project also implemented a...","Optimise Prime has gathered data from over 6,000 Electric Vehicles (EVs) driven for commercial purposes through three trials. The project also implemented a range of technical and commercial solutions aiming to accelerate the transition to EVs for commercial fleet operators, while helping GB’s distribution networks plan and prepare for the mass adoption of EVs. The project aimed to reduce the impact of EVs on distribution networks and ensure security of electricity supply while saving money for electricity customers, helping the UK meet its clean air and climate change objectives. The project consisted of three trial workstreams (WS): WS1, investigating the impact of commercial vehicles charging at homes WS2, monitoring and optimising commercial vehicles charging in depots WS3, which uses ",Other,UK Power Networks,https://data.london.gov.uk/dataset/e16lp,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,One off,HTML,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"electric vehicle, fleet, depot, home charging, EV",snowflake,Medium,"Topics: business-and-economy, environment, planning, transport. Last updated: 2022-11-25."
GLA comments on DLUHC Levelling Up metrics,2n1xm,The GLA has conducted an analysis of the metrics accompanying the DLUHC White Paper on Levelling Up. Levelling up will not be achieved by levelling down...,"The GLA has conducted an analysis of the metrics accompanying the DLUHC White Paper on Levelling Up. Levelling up will not be achieved by levelling down because London has deep economic links with the rest of the UK. There should be separate missions and metrics on improving productivity and tackling disadvantage. This would allow a clearer focus on poverty alleviation. Strategy and policy development, and supporting measures and analysis should reflect local needs. This would support the development of transport policy in London.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2n1xm,UNKNOWN,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,levelling up,snowflake,Medium,"Topics: business-and-economy, championing-london, crime-and-community-safety, education, employment-and-skills, health, housing, income-poverty-welfare, planning, transparency, transport, young-people. Last updated: 2022-11-17."
High Streets Spend Insights,2jy70,The report below includes insights derived from Mastercard retail spend data by the High Streets Data Service. The data has been aggregated London-wide and...,The report below includes insights derived from Mastercard retail spend data by the High Streets Data Service. The data has been aggregated London-wide and by town centre type to provide insights into spending trends concerning these areas. All data is aggregated and anonymised from Mastercard.,Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2jy70,Other (Not Open),One off,SLIDESHOW,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,highstreetdata,snowflake,Medium,Topics: business-and-economy. Last updated: 2022-11-16.
The rising cost of living and its effects on Londoners,2zj9p,This work looks at the spiralling cost of living and the challenges facing Londoners including the rising poverty levels in the capital. The latest update...,This work looks at the spiralling cost of living and the challenges facing Londoners including the rising poverty levels in the capital. The latest update is dated August 2022. The report and public attitudes and behaviour charts (published 1 February 2022) were republished (7 April 2022) to correct a calculation error. This error was due to manual calculation.,Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2zj9p,UNKNOWN,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"cost of living, inflation, fuel poverty, employment, income, cpi, disposable income, housing costs, wages, inequality",snowflake,Medium,"Topics: business-and-economy, championing-london, demographics, income-poverty-welfare, planning, transparency. Last updated: 2022-08-22."
Wali  Test 1,2zj3q,,UNKNOWN,Other,UK Smart Cities Advisory Group,https://data.london.gov.uk/dataset/2zj3q,UNKNOWN,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: business-and-economy, environment, young-people. Last updated: 2022-08-04."
Embedded Capacity Register,e56gn,"The Embedded Capacity Register (ECR), formerly known as the System Wide Resource Register (SWRR), lists all generation, storage and flexible demand...","The Embedded Capacity Register (ECR), formerly known as the System Wide Resource Register (SWRR), lists all generation, storage and flexible demand resources where the installed generation capacity, export capacity or the import capacity is greater than or equal to 1MW. More information can be found here: https://www.ukpowernetworks.co.uk/electricity/distribution-energy-resources/the-embedded-capacity-register",Other,UK Power Networks,https://data.london.gov.uk/dataset/e56gn,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Monthly,HTML,UNKNOWN,UNKNOWN,20 Metre Grid,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"electricity, power, energy, solar, battery, wind",snowflake,Medium,"Topics: business-and-economy, environment, planning. Last updated: 2022-04-12."
Directory of London Businesses,2w9nz,"A list of businesses located in London showing a range of information including company name, address, postcode, local authority, and SIC code (industry)....","A list of businesses located in London showing a range of information including company name, address, postcode, local authority, and SIC code (industry). The Free Company Data Product is a downloadable data snapshot containing basic company data of live companies on the register. The version available from Companies House has all UK business and is available to download in a series of Zip folders. The London cut available to download here, was created using a postcode list. Therefore, if there is an error in the postcode, or some other problem caused the postcode listed not to match a London postcode, those business will not be included in the file. Furthermore, inaccuracies in postcodes may mean that no local authority is listed for a company. Each entry represents a financial accounts s",Other,Companies House,https://data.london.gov.uk/dataset/2w9nz,UNKNOWN,Annual,CSV,UNKNOWN,2020-04 to 2021-04,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"firms, accounts, company, businesses, firm, business, non-domestic",snowflake,Medium,Topics: business-and-economy. Last updated: 2022-03-01.
London Local Skills Report and Annexes – February 2022,e163k,The Skills for Londoners Board – London’s Skills Advisory Panel - has published a refresh of its first Local Skills Report. The report presents an overview...,"The Skills for Londoners Board – London’s Skills Advisory Panel - has published a refresh of its first Local Skills Report. The report presents an overview of London’s skills landscape in light of the impact of Covid-19, and sets out our progress with our main skills programmes as well as the work now underway as part of London Recovery Board’s Getting Londoners in to Good Work mission. It concludes with a forward look, including the Skills Roadmap for London and how we will align our work with that being delivered as part of central Government programmes.",Other,GLA - Skills for Londoners Board,https://data.london.gov.uk/dataset/e163k,UNKNOWN,Annual,PDF,UNKNOWN,UNKNOWN,Local Authority,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: business-and-economy, employment-and-skills, income-poverty-welfare. Last updated: 2022-02-28."
Population change in London during the pandemic,24095,These reports present assessments of the available evidence concerning population change in London since the beginning of the COVID-19 pandemic. The main...,These reports present assessments of the available evidence concerning population change in London since the beginning of the COVID-19 pandemic. The main document (May 2021) is accompanied by a short summary report and an annex that provides an overview of the data sources considered. In February 2022 a report was released which integrated new evidence that had become available since the original analysis.,Other,GLA Demography,https://data.london.gov.uk/dataset/24095,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,Unknown,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,"Topics: business-and-economy, covid-19, demographics. Last updated: 2022-02-22."
Tax Increment Financing (TIF),2oz5g,"This work sets out the background to the Tax Increment Financing (TIF) model, and describes some case studies in which TIFs have been used, both here in the...","This work sets out the background to the Tax Increment Financing (TIF) model, and describes some case studies in which TIFs have been used, both here in the UK, and in the US.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2oz5g,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"Tax, Tax Increment Financing, TIF, revenue generation, regeneration",snowflake,Medium,"Topics: business-and-economy, planning, transparency. Last updated: 2022-01-31."
Skills Roadmap Consultation Results,ex98p,In January 2022 the Mayor published his Skills Roadmap for London. The Roadmap sets the direction of travel for adult education in London over the Mayoral...,"In January 2022 the Mayor published his Skills Roadmap for London. The Roadmap sets the direction of travel for adult education in London over the Mayoral term and beyond, including future plans for the approximately £320 million per year Adult Education Budget (AEB). The Roadmap was developed based on extensive consultation with stakeholders, communities and businesses. The GLA engaged over 100 organisations through a written consultation and stakeholder roundtables, including local authorities, learning providers and employers and businesses. The GLA also captured the views of almost 1000 Londoners from key target groups through community conversations hosted by community organisations across London. The GLA also produced an Equality Impact Assessment alongside the final Skills Roadmap t",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/ex98p,UNKNOWN,One off,"HTML, PDF",UNKNOWN,2021-10 to present,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"employment, skills, further education, adult education, business, economic",snowflake,Medium,"Topics: business-and-economy, education, employment-and-skills. Last updated: 2022-01-31."
