title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
Planning applications by month,2969o,This report shows the number of planning applications validated and approved each month since 1 January 2020 on the Planning London Datahub.,This report shows the number of planning applications validated and approved each month since 1 January 2020 on the Planning London Datahub.,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2969o,UNKNOWN,One off,UNKNOWN,UNKNOWN,UNKNOWN,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2022-03-16.
Pope's Road public consultation 14 January - 4 February 2022,e66nn,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e66nn,UNKNOWN,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2022-01-20.
Vinegar Yard Public Consultation 20 January - 21 February 2022,vql0l,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vql0l,UNKNOWN,One off,"IMAGE, PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2022-01-20.
Manor Road public consultation 20 January - 10 February 2022,2k5kj,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2k5kj,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2022-01-19.
Library of housing types,ex9dp,Library of housing types for use with SketchUp,Library of housing types for use with SketchUp,Real Estate,Planning Constraints Map,https://data.london.gov.uk/dataset/ex9dp,UNKNOWN,One off,UNKNOWN,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2021-11-01.
Former Stag Brewery public consultation documents,23j7j,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/23j7j,UNKNOWN,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2021-07-20.
Exploring London’s public realm,e75xn,Qualitative research and polling with Londoners undertaken by the GLA's Opinion Research team in 2019. The research explored in-depth Londoners’...,"Qualitative research and polling with Londoners undertaken by the GLA's Opinion Research team in 2019. The research explored in-depth Londoners’ perspectives of the public realm, to help inform the Mayor's Public London Charter. The research report covers: Experiences and uses of public spaces Views on privately-owned public spaces Views on the future of the public realm",Real Estate,GLA Opinion Research,https://data.london.gov.uk/dataset/e75xn,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-12-23.
Thamesmead and Abbey Wood Opportunity Area documents,vdrwm,The Thamesmead and Abbey Wood Opportunity Area is one of the largest regeneration areas in London. Prepared jointly by the Mayor of London’s office (Greater...,"The Thamesmead and Abbey Wood Opportunity Area is one of the largest regeneration areas in London. Prepared jointly by the Mayor of London’s office (Greater London Authority, GLA), Transport for London (TfL), Royal Borough of Greenwich and London Borough of Bexley, the Thamesmead and Abbey Wood Opportunity Area Planning Framework (T&AW OAPF) supports and plans for the Mayor’s proposal to extend the DLR to Thamesmead and beyond. With transport improvements, the OAPF identifies the potential for the OA to provide over 15,000 new homes and 8,000 new jobs. More information can be found on the T&AW OAPF web page .",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vdrwm,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-12-21.
Bishopsgate Goodsyard July 2020 amendments,ex40l,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/ex40l,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-11-25.
Good Quality Homes SPG consultation draft documents,e19gp,https://consult.london.gov.uk/good-quality-homes-for-all-londoners,https://consult.london.gov.uk/good-quality-homes-for-all-londoners,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e19gp,UNKNOWN,One off,ZIP,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-11-18.
Kensington Forum hotel application documents July 2020,v8w77,"Documents for the Kensington Forum hotel public hearing, case reference 4266. For more information see...","Documents for the Kensington Forum hotel public hearing, case reference 4266. For more information see https://www.london.gov.uk/what-we-do/planning/planning-applications-and-decisions/public-hearings/kensington-forum-hotel-public-hearing . See also the documents from May 2019 at https://data.london.gov.uk/dataset/kensintgon-forum-hotel-application-documents-may-2019 .",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/v8w77,UNKNOWN,Unknown,"PDF, SPREADSHEET, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-10-12.
Floorspace of selected night time economy establishments by town centre,23j8j,Floorspace of selected night time economy establishments by town centre data. The Town centre boundaries used are from the 2016 Town Centre Health Check....,Floorspace of selected night time economy establishments by town centre data. The Town centre boundaries used are from the 2016 Town Centre Health Check. This dataset is included in the Greater London Authority's Night Time Observatory. Click here to find out more.,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/23j8j,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,SPREADSHEET,UNKNOWN,2016-01 to 2016-12,Borough,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,nto,snowflake,Medium,Topics: planning. Last updated: 2020-10-08.
Manor Road homebase amended consultation documents,2l1l3,"Amended documents for the Manor Road Homebase public hearing, case number 4795. See also...","Amended documents for the Manor Road Homebase public hearing, case number 4795. See also https://data.london.gov.uk/dataset/manor-road-public-consultation-documents",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2l1l3,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-09-03.
Former Master Brewer Site consultation documents,2wmz3,"Application documents for the redevelopment of the former Master Brewer site, case reference 0995g. More information can be found at...","Application documents for the redevelopment of the former Master Brewer site, case reference 0995g. More information can be found at https://www.london.gov.uk/what-we-do/planning/planning-applications-and-decisions/public-hearings/former-master-brewer-site-public-hearing",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2wmz3,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-08-26.
Kensington Forum hotel application documents May 2019,vdr15,Case reference 4266. See also the documents from July 2020 at https://data.london.gov.uk/dataset/kensintgon-forum-hotel-application-documents-july-2020,Case reference 4266. See also the documents from July 2020 at https://data.london.gov.uk/dataset/kensintgon-forum-hotel-application-documents-july-2020,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vdr15,UNKNOWN,Unknown,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-08-18.
5 Kingdom Street application documents,e6y7w,"Documents related to the planning application at 5 Kingdom Street, Mayoral reference 4925. More information can be found at...","Documents related to the planning application at 5 Kingdom Street, Mayoral reference 4925. More information can be found at https://www.london.gov.uk/what-we-do/planning/planning-applications-and-decisions/public-hearings/5-kingdom-street-public-hearing",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e6y7w,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-08-06.
Bishopsgate Goodsyard October 2019 amended submission,e5n4x,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e5n4x,UNKNOWN,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-07-31.
Bishopsgate Goodsyard Regulation 22 consultation documents,e11kd,"Documents for the Regulation 22 consultation on the planning application at Bishopsgate Goodsyard, PDU reference 1200c, including Socio-Economic Assessment,...","Documents for the Regulation 22 consultation on the planning application at Bishopsgate Goodsyard, PDU reference 1200c, including Socio-Economic Assessment, Noise Contour Plots, LDS Draft Addendum, Transport Technical Note Addendum, LUC Review of the Environment Statement and Daylight and Sunlight Assessment. More information on the GLA website.",Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e11kd,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,"PDF, ZIP",UNKNOWN,2016-01 to 2016-02,Other,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"consultation, 1200c, bishopsgate goodsyard",snowflake,Medium,Topics: planning. Last updated: 2020-07-30.
Thameside West Public Consultation documents,vdroo,,UNKNOWN,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/vdroo,UNKNOWN,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-07-28.
London Development Database SQL Extract,2koxx,This is a copy of the final London Development Database. This is the entire LDD database exported as a .sql.tar using pg_dump. For information on how to use...,This is a copy of the final London Development Database. This is the entire LDD database exported as a .sql.tar using pg_dump. For information on how to use this file and details of the database tables please refer to the document London Development database export.pdf All data is provided by London’s planning authorities. An extract from the database can be downloaded from the London Datastore and data can be viewed on a map at https://maps.london.gov.uk/map/?ldd,Real Estate,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2koxx,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,"PDF, ZIP",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: planning. Last updated: 2020-07-15.
