title,slug,short_description,long_description,category,provider,source_url,licence,update_frequency,format,record_count,date_coverage,geographic_coverage,access_method,schema_fields,sample_rows,tags,access_type,priority,notes
url-test-newlink,2k5qx,,UNKNOWN,Other,GLA London Datastore team,https://data.london.gov.uk/dataset/2k5qx,UNKNOWN,Unknown,TXT,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: . Last updated: 2022-09-27.
WALI-TeST-4,epq5g,,UNKNOWN,Other,Data Engineer test - 2,https://data.london.gov.uk/dataset/epq5g,UNKNOWN,Unknown,CSV,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: . Last updated: 2022-06-17.
WALI-TEST-1,296qo,,UNKNOWN,Other,Data Engineer test - 1,https://data.london.gov.uk/dataset/296qo,UNKNOWN,Unknown,CSV,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: . Last updated: 2022-06-17.
	 LFB financial and performance reporting 2021/22,epoyw,"As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this...","As part of budget guidance, the Mayor asks that the LFB (London Fire Commissioner) publish financial and performance monitoring. The aim is that this information is available on our external website within 25 working days after each quarter end. From 1 April 2018, the London Fire Commissioner is the fire and rescue authority for London, and the LFC runs the London Fire Brigade.",Other,London Fire Brigade,https://data.london.gov.uk/dataset/epoyw,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Quarterly,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"budget, perfomance, monitoring, London Fire Brigade, Mayor, LFC",snowflake,Medium,Topics: . Last updated: 2022-06-16.
WALI-TEST DATA 1,2r75o,,UNKNOWN,Other,Data Engineer test - 1,https://data.london.gov.uk/dataset/2r75o,UNKNOWN,Unknown,CSV,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: . Last updated: 2022-06-15.
Social Cost Benefit Analysis of the no recourse to public funds (NRPF) policy in London,emxyg,"In 2021, the Greater London Authority (GLA) commissioned the London School of Economics (LSE) to conduct a robust Social Cost Benefit Analysis (SCBA) of the...","In 2021, the Greater London Authority (GLA) commissioned the London School of Economics (LSE) to conduct a robust Social Cost Benefit Analysis (SCBA) of the removal of the NRPF restriction for certain migrant groups with work related visas, and their family members. They did this by quantifying all the costs that would be imposed on central and local government as a result and quantifying all the benefits to society that would arise from giving these migrants access to public funds. The researchers employed a mixed-methods research approach that combined quantitative and qualitative techniques. The cost-benefit calculations drew on established methods for producing spreadsheet-based estimates, in money terms, of the overall costs and gains to society from a change in policy—in this case th",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/emxyg,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,"PDF, SPREADSHEET",UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"cost benefit analysis, economic, no recourse to public funds, migration",snowflake,Medium,Topics: . Last updated: 2022-03-24.
What can we learn about social integration in London from Twitter?,2rq7d,At the beginning of 2019 the Greater London Authority (GLA) commissioned Ipsos MORI to develop a deeper understanding of social integration using publicly...,"At the beginning of 2019 the Greater London Authority (GLA) commissioned Ipsos MORI to develop a deeper understanding of social integration using publicly accessible Twitter data. The research sought to measure the sentiment expressed in Tweets sent within and about London across a range of social integration sub-topics. It also sought to assess how the topics and sentiment contained in Tweets differed by demographic and by London Borough. The research also aimed to identify a methodology that could be repeated at different points in the future to collect comparable data, so that changes in sentiment or topic frequency could be tracked over time. Twitter was found to be a rich source of information relating to social integration in London. It provided anecdotal insight into the impact of s",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2rq7d,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: . Last updated: 2021-03-22.
Social Integration Measurement Toolkit,2rqqd,"At the end of 2019 the Greater London Authority (GLA) commissioned PRD to develop a standardised social integration measurement toolkit, for use by the GLA...","At the end of 2019 the Greater London Authority (GLA) commissioned PRD to develop a standardised social integration measurement toolkit, for use by the GLA and other organisations when monitoring social integration and evaluating interventions. The toolkit builds upon existing approaches and evidence developed at the GLA and is accessible to users across a range of existing capacity. The toolkit provides practical guidance for measuring different aspects of social integration through quantitative surveys and qualitative methods.",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2rqqd,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"social integration, toolkit",snowflake,Medium,Topics: . Last updated: 2021-02-24.
London Visitor Perceptions,em59m,Visitor expectation and experience ratings Visitor expectation and experience ratings. This dataset is included in the Greater London Authority's Night Time...,Visitor expectation and experience ratings Visitor expectation and experience ratings. This dataset is included in the Greater London Authority's Night Time Observatory. Click here to find out more.,Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/em59m,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Annual,SPREADSHEET,UNKNOWN,2017-01 to 2017-12,Region,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,nto,snowflake,Medium,Topics: . Last updated: 2020-10-02.
Londons ranking as a leading global financial centre,2w1j3,,UNKNOWN,Other,The Global Financial Centres Index,https://data.london.gov.uk/dataset/2w1j3,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,SPREADSHEET,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: . Last updated: 2019-11-28.
GLA 'New Methods' Conference 30th September 2019,2y96y,"Notes and slides from the Conference at City Hall on 30 September 2019 examining the role of new approaches, methods and tools in helping shape public...","Notes and slides from the Conference at City Hall on 30 September 2019 examining the role of new approaches, methods and tools in helping shape public policy and the delivery of public services on the ground. . Seen in the round, rather than as discrete innovations, these amount to a growing revolution in our approach to public service design and delivery. The combined use of machine learning, the Internet of Things, user-centred design, mapping applications, tools that engage citizens, dynamic simulation - and much more besides – has been growing in recent years: now, they are moving centre stage. This conference showcased actual applications recently developed in London and elsewhere, how and why they were created, and consider how they might evolve, given the array of challenges facing ",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/2y96y,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: . Last updated: 2019-10-11.
City Intelligence Data Design Guidelines,e6wyz,"A set of guidelines to help us all at the GLA understand the basic principles of data visualisation, provide some examples of good practice, working...","A set of guidelines to help us all at the GLA understand the basic principles of data visualisation, provide some examples of good practice, working processes and links to tools we can all use. See blog for more details https://data.london.gov.uk/blog/city-intelligence-data-design-guidelines/",Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/e6wyz,Creative Commons Attribution — http://www.opendefinition.org/licenses/cc-by,One off,PDF,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: . Last updated: 2019-06-18.
London Datastore Catalogue,eprdg,Datastore catalogue files showing every dataset and resource entry on the London datastore. Files includes all metadata. File represents a live snapshot of...,Datastore catalogue files showing every dataset and resource entry on the London datastore. Files includes all metadata. File represents a live snapshot of content and is continually updated.,Other,Greater London Authority (GLA),https://data.london.gov.uk/dataset/eprdg,UNKNOWN,Hourly,HTML,UNKNOWN,UNKNOWN,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,"metadata, datastore, dump, excel",snowflake,Medium,Topics: . Last updated: 2019-03-18.
Daily Areal Rainfall Calculations,e7x9n,Areal rainfall is calculated at a daily timestep for 5 areal units which cover London using the Soil Moisture Model developed and run by the Environment...,"Areal rainfall is calculated at a daily timestep for 5 areal units which cover London using the Soil Moisture Model developed and run by the Environment Agency. For each areal unit, the areal rainfall and soil moisture deficits (SMDs) are calculated. Areal rainfall – This is calculated using rainfall data collected at one or more rain gauges situated within each areal unit. This is then averaged and weighted across each areal unit. Soil moisture deficits (SMDs) are calculated using the areal rainfall data and the potential evaporation (PE) estimated for each unit.Realistically, the SMD would vary slightly during the day given showers/thunderstorms etc and the PE would also vary with the time of day and temperature.This sort of detail is not available and unnecessary for most water resource",Other,Environment Agency,https://data.london.gov.uk/dataset/e7x9n,UK Open Government Licence (OGL v3) — http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Unknown,CSV,UNKNOWN,2007-01 to 2019-01,Greater London,Free download,UNKNOWN — requires accessing dataset page directly,UNKNOWN — requires accessing dataset page directly,,snowflake,Medium,Topics: . Last updated: 2019-03-04.
